Datetime,Close,High,Low,Open,Volume
2025-03-13 00:00:00,83761.046875,83761.046875,83619.28125,83672.03125,0
2025-03-13 00:05:00,83621.96875,83708.3359375,83621.96875,83708.3359375,879878144
2025-03-13 00:10:00,83604.2578125,83693.703125,83604.2578125,83693.703125,0
2025-03-13 00:15:00,83542.3671875,83640.8125,83496.4765625,83622.0390625,459743232
2025-03-13 00:20:00,83890.328125,83903.1015625,83669.9921875,83669.9921875,110927872
2025-03-13 00:25:00,83766.765625,83946.078125,83766.765625,83882.3515625,0
2025-03-13 00:30:00,83627.8828125,83674.2578125,83596.3515625,83674.2578125,197292032
2025-03-13 00:35:00,83815.484375,83860.484375,83724.6640625,83724.6640625,0
2025-03-13 00:40:00,83851.265625,83915.1484375,83851.265625,83915.1484375,907735040
2025-03-13 00:45:00,83635.3515625,83814.5234375,83635.3515625,83814.5234375,0
2025-03-13 00:50:00,83509.453125,83597.8671875,83509.453125,83597.8671875,17596416
2025-03-13 00:55:00,83463.96875,83553.046875,83463.96875,83553.046875,0
2025-03-13 01:00:00,83317.5703125,83441.765625,83317.5703125,83435.28125,345518080
2025-03-13 01:05:00,83537.375,83537.375,83368.078125,83368.078125,52404224
2025-03-13 01:10:00,83674.265625,83674.265625,83549.203125,83549.203125,0
2025-03-13 01:15:00,83712.2109375,83747.125,83667.9609375,83667.9609375,17203200
2025-03-13 01:20:00,83521.328125,83667.484375,83521.328125,83607.578125,469065728
2025-03-13 01:25:00,83667.46875,83667.46875,83519.5078125,83519.5078125,411791360
2025-03-13 01:30:00,83806.578125,83824.296875,83631.8203125,83631.8203125,0
2025-03-13 01:35:00,83749.5390625,83772.5703125,83748.4375,83772.5703125,144199680
2025-03-13 01:40:00,83678.9375,83707.6484375,83678.9375,83696.796875,0
2025-03-13 01:45:00,83829.34375,83829.34375,83703.125,83703.125,0
2025-03-13 01:50:00,84076.40625,84106.40625,83853.5,83853.5,0
2025-03-13 01:55:00,83950.2265625,83977.9609375,83950.2265625,83968.03125,1445863424
2025-03-13 02:00:00,83926.890625,83944.5546875,83883.328125,83944.5546875,0
2025-03-13 02:05:00,84259.671875,84259.671875,83996.7890625,83996.7890625,0
2025-03-13 02:10:00,84180.0078125,84180.0078125,84098.5,84098.5,653967360
2025-03-13 02:15:00,84012.859375,84163.7578125,84012.859375,84163.7578125,0
2025-03-13 02:20:00,83956.1796875,84000.6953125,83942.1171875,84000.6953125,0
2025-03-13 02:25:00,84012.609375,84012.609375,83902.515625,83902.515625,1042219008
2025-03-13 02:30:00,83850.1796875,83944.1796875,83850.1796875,83944.1796875,0
2025-03-13 02:35:00,83873.9453125,83873.9453125,83834.9453125,83834.9453125,0
2025-03-13 02:40:00,84001.40625,84001.40625,83856.46875,83856.46875,365998080
2025-03-13 02:45:00,83959.5078125,84011.78125,83948.1953125,83948.1953125,0
2025-03-13 02:50:00,83893.359375,83959.90625,83893.359375,83949.5546875,0
2025-03-13 02:55:00,83776.1796875,83871.140625,83776.1796875,83871.140625,0
2025-03-13 03:00:00,83815.65625,83856.8671875,83815.65625,83856.8671875,660221952
